Place,Description,Location,Ages,Ticket Price,Event Start Date,Event End Date,Opening Hours
Nawal El Kuwaitia & Ahlam - Around The Kingdom 24,On the Mohammed Abdo Arena at Kingdom Tour,Riyadh,Above 12,30 SAR per person,8/12/2024,8/12/2024,7:00 AM to 9:00 PM
Tamer Hosny - Around The Kingdom 24,A lively concert performed by singer Tamer Hosny ,Riyadh,All,10 SAR per person,8/10/2024,8/10/2024,6:30 AM to 8:30 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden.Sky Garden,Jeddah,Above 15,90 SAR per person,8/9/2024,8/9/2024,5:00 AM to 6:00 PM
Rabeh Sager - Around The Kingdom 24,An exceptional evening with Gulf musician Rabah Saqr within the Kingdom Tour in Abha .King Khalid University Theater,Abha,Above 12,90 SAR per person,8/9/2024,8/9/2024,6:00 AM to 7:00 PM
Elissa & Ramy Sabry,A musical night with Elissa & Ramy Sabry in Jeddah at the Abadi AlJohar Arena.Abadi Al-Jawhar Arena,Jeddah,Adults,40 SAR per person,8/8/2024,8/8/2024,5:00 AM to 7:00 PM
Oriental night with Nedaa Sharara,An Escape to the Wonderful Times with the Winner of The Title of “The Voice” Artist Nedaa Sharara.Vocally Theatre,Diriyah,Above 15,120 SAR per person,8/8/2024,8/9/2024,6:00 AM to 8:00 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,All,50 SAR per person,8/6/2024,8/6/2024,5:30 AM to 7:30 PM
Nabil Shuail & Miami Band - Around The Kingdom 24,Unforgettable moments we live it with the singer Nabil Shuail and the Miami band.Mohammed Abdo Arena,Riyadh,Above 12,150 SAR per person,8/6/2024,8/6/2024,7:00 AM to 9:00 PM
The first of its kind - Around The Kingdom 24,Talal,Riyadh,Adults,40 SAR per person,8/6/2024,8/10/2024,6:30 AM to 8:30 PM
Abadi AlJohar,An exceptional night with artist Dr. Abadi AlJohar in Jeddah at the Abadi AlJohar Arena.Abadi Al-Jawhar Arena,Jeddah,All,90 SAR per person,8/2/2024,8/2/2024,5:00 AM to 6:00 PM
Classic Saudi Nostalgia,The Arab artist and immortal icon whose art we lived and still live.Vocally Theatre,Diriyah,Above 12,Free Pass,8/2/2024,8/2/2024,6:00 AM to 7:00 PM
Classic Saudi Nostalgia,"See more ideas about arabic design, typography poster design, arabic art",Diriyah,Adults,150 SAR per person,8/1/2024,8/1/2024,5:00 AM to 7:00 PM
Artificial marriage,Shorouk and Farouk are exposed to a crisis on their wedding night.City Walk,Jeddah,Above 15,50 SAR per person,8/1/2024,8/4/2024,6:00 AM to 8:00 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,Adults,20 SAR per person,7/30/2024,7/30/2024,5:30 AM to 7:30 PM
Rashed Al Fares & Oumaima Taleb & Fahad Al Kubaisi - Around The Kingdom 24,A legendary night with Rashed Al Fares,Riyadh,Above 12,50 SAR per person,7/29/2024,7/29/2024,7:00 AM to 9:00 PM
The sinbad - Around The Kingdom 24,While Omar abo alhoul is escaping from almalem Senussi.King Khalid University Theater,Abha,Above 15,60 SAR per person,7/29/2024,7/31/2024,6:30 AM to 8:30 PM
Witch of the North - Around The Kingdom 24,The events of the play take place in the abandoned house inhabited by the Witch of the North.Bakr Al Sheddy Theater- Boulevard,Riyadh,Above 15,20 SAR per person,7/29/2024,8/2/2024,5:00 AM to 6:00 PM
Night of dreams,Night of dreams.Abadi Al-Jawhar Arena,Jeddah,Above 15,30 SAR per person,7/26/2024,7/26/2024,6:00 AM to 7:00 PM
Fahad Al Kubaisi & Hind AlBahraineya & Dhom Altlasy - Around The Kingdom 24,A legendary night with Fahad Al Kubaisi,Albaha,All,20 SAR per person,7/25/2024,7/25/2024,5:00 AM to 7:00 PM
Modi Al Shamrani & Abdullah AlMana Concert,A special concert in which we enjoy the most beautiful songs.Abadi Al-Jawhar Arena,Jeddah,Above 12,30 SAR per person,7/18/2024,7/18/2024,6:00 AM to 8:00 PM
The sinbad,While Omar abo alhoul is escaping from almalem Senussi.City Walk,Jeddah,Above 12,120 SAR per person,7/18/2024,7/23/2024,5:30 AM to 7:30 PM
Balad social,Balad Social Event In red sea palace hotel.Red sea Palace Hotel,Jeddah,Above 15,10 SAR per person,7/17/2024,10/19/2024,7:00 AM to 9:00 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,All,30 SAR per person,7/16/2024,7/16/2024,6:30 AM to 8:30 PM
Poetry Night - Ali Bin Hamri - Abha,Get ready for a spectacular evening of poetry with the illustrious Ali bin Hamri!.King Khalid University Theater,Abha,Adults,60 SAR per person,7/13/2024,7/13/2024,5:00 AM to 6:00 PM
Amal Maher & Fouad Abdelwahed - Around The Kingdom 24,A musical night of its kind,Abha,All,50 SAR per person,7/12/2024,7/12/2024,6:00 AM to 7:00 PM
Kadim Al Sahir Concert,A concert ignited by charming melodies performed.Abadi Al-Jawhar Arena,Jeddah,Above 15,20 SAR per person,7/12/2024,7/12/2024,5:00 AM to 7:00 PM
Poetry Night - Ali Bin Hamri - Taif,Get ready for a dazzling evening of poetry with the legendary Ali bin Hamri!.B Auditorium in Taif University,Taif,All,150 SAR per person,7/12/2024,7/12/2024,6:00 AM to 8:00 PM
Souq deeratna,A journey between the present and the past,Abha,Adults,30 SAR per person,7/12/2024,8/30/2024,5:30 AM to 7:30 PM
Jeddah Waves,An event including all water activities.8912 Prince Abdullah AlFiasal St,Jeddah ,Adults,150 SAR per person,7/12/2024,10/6/2024,7:00 AM to 9:00 PM
Amal Maher & Fouad Abdelwahed - Around The Kingdom 24,A musical night of its kind,Taif,All,30 SAR per person,7/11/2024,7/11/2024,6:30 AM to 8:30 PM
Abdul Majeed Abdullah - Around The Kingdom 24,An exceptional concert,Riyadh,Above 15,30 SAR per person,7/10/2024,7/10/2024,5:00 AM to 6:00 PM
Doctor - Around The Kingdom 24,The doctor who works in the medical profession takes the worst advantage of his patients through.Bakr Al Sheddy Theater- Boulevard,Riyadh,All,120 SAR per person,7/10/2024,7/14/2024,6:00 AM to 7:00 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,Adults,70 SAR per person,7/9/2024,7/9/2024,5:00 AM to 7:00 PM
Sky Night - Sky Garden,A pleasant night presented to you by Sky Garden.Sky Garden,Jeddah,Above 12,30 SAR per person,7/5/2024,7/5/2024,6:00 AM to 8:00 PM
Majid Al Muhandis - Around The Kingdom 24,An exceptional evening with the artist Majid Al Muhandis.Mohammed Abdo Arena,Riyadh,Adults,90 SAR per person,7/5/2024,7/5/2024,5:30 AM to 7:30 PM
Musical School,Ramadan Mabrouk returns to manage a school after its owner asks him to help him manage it!.City Walk,Jeddah,Above 12,30 SAR per person,7/5/2024,7/9/2024,7:00 AM to 9:00 PM
Warda Night,The largest Concert Warda Night brings together the stars of the Arab world at Abadi Al-Jawhar Arena.Abadi Al-Jawhar Arena,Jeddah,All,30 SAR per person,7/4/2024,7/4/2024,6:30 AM to 8:30 PM
AFT_r,Game Ends,Riyadh,Above 15,40 SAR per person,7/4/2024,8/15/2024,5:00 AM to 6:00 PM
Haql City Summer Festival,Haql City Summer Festival.Prince Fahad Park,Tabouk,Above 12,30 SAR per person,7/4/2024,8/25/2024,6:00 AM to 7:00 PM
Esport World Cup,The Esports World Cup is an elite multi-genre esports competition that will take place annually.Boulevard Riyadh City,Riyadh,All,30 SAR per person,7/3/2024,8/31/2024,5:00 AM to 7:00 PM
Albader Night - Sky Garden,A pleasant night presented to you by Sky Garden.Sky Garden,Jeddah,Above 12,70 SAR per person,6/28/2024,6/28/2024,6:00 AM to 8:00 PM
Raya & Skena,Raya and Sakina,Jeddah,All,30 SAR per person,6/28/2024,7/17/2024,5:30 AM to 7:30 PM
CityWalk,City Walk returns for the fourth consecutive year.City Walk,Jeddah,Above 15,40 SAR per person,6/28/2024,8/16/2024,7:00 AM to 9:00 PM
The lapratory,A horror zone with a science fiction theme that includes several stages.City Walk,Jeddah,All,70 SAR per person,6/28/2024,8/18/2024,6:30 AM to 8:30 PM
Mirrors maze,An exciting adventure in the maze of mirrors where visitors must escape from the creatures.City Walk,Jeddah,Above 12,50 SAR per person,6/28/2024,8/18/2024,5:00 AM to 6:00 PM
joy plex,A diverse games and activities area suitable for all age groups.City Walk,Jeddah,Above 15,40 SAR per person,6/28/2024,8/18/2024,6:00 AM to 7:00 PM
Locanda RoyaL Hotelâ€‹,An experience that mimics classic hotels,Jeddah,All,70 SAR per person,6/28/2024,8/18/2024,5:00 AM to 7:00 PM
IMAGINE MONET,Welcome to the Imagine Monet exhibition.Jeddah Corniche,Jeddah,Above 15,40 SAR per person,6/28/2024,7/28/2024,6:00 AM to 8:00 PM
CELEBRATE EVERY STORY WITH WARNER BROS,Celebrate every story with Warner Bros. Discovery this Jeddah Season!.Warner Bros,Jeddah,Above 12,30 SAR per person,6/28/2024,8/16/2024,5:30 AM to 7:30 PM
Malak And Alshater,"Al-Shater Hassan"" embarks on a great adventure to obtain (the black saffron).Bakr Al Sheddy Theater- Boulevard",Riyadh,Above 12,90 SAR per person,6/26/2024,7/6/2024,7:00 AM to 9:00 PM
Terhaab,TextWe aspire to create a unique experience for visitors to the Asir region.Terhaab,Abha,Adults,120 SAR per person,6/26/2024,8/30/2024,6:30 AM to 8:30 PM
Buraidah Summer Festival,An entertainment festival that contains many family-oriented entertainment activities.king abdullah park,Qassim,Adults,30 SAR per person,6/24/2024,9/28/2024,5:00 AM to 6:00 PM
UFC fight night,UFC the world’s premier mixed martial arts organization,Riyadh,Above 12,30 SAR per person,6/22/2024,6/22/2024,6:00 AM to 7:00 PM
Khaled Hatem - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,All,40 SAR per person,6/20/2024,6/20/2024,5:00 AM to 7:00 PM
mahrajan sayf almudhanab,Mahrajan sayf almudhanab.mahrajan sayf almudhanab,Almethneb,Adults,120 SAR per person,6/20/2024,7/19/2024,6:00 AM to 8:00 PM
The first Sudanese entertainment day in Riyadh,Special Sudanese art in one place.Alasayl Hall,Riyadh,Above 12,Free Pass,6/19/2024,6/20/2024,5:30 AM to 7:30 PM
Choralla shows,Korala: An Enchanting Concert of Melodious Voices and Musical Creations,Jeddah,Above 12,120 SAR per person,6/18/2024,6/20/2024,7:00 AM to 9:00 PM
peony,An event rich in restaurants,Abha,Adults,40 SAR per person,6/6/2024,8/20/2024,6:30 AM to 8:30 PM
Khaled shaheen & Sonik - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,All,70 SAR per person,6/4/2024,6/4/2024,5:00 AM to 6:00 PM
WWE Experiance,Witness the sights,Riyadh,All,40 SAR per person,6/4/2024,10/10/2024,6:00 AM to 7:00 PM
5 vs 5 Boxing event,Prepare for an extraordinary showdown as Frank Warren's elite team of five boxers goes head-to-head against Eddie Hearn's beast squad of five boxers.Kingdom Arena,Riyadh,Above 12,Free Pass,6/1/2024,6/1/2024,5:00 AM to 7:00 PM
Yellow plus,Get ready for an electrifying night as BreakOut and YellowPlus presents for the first time in the kingdom,Riyadh,Above 12,60 SAR per person,5/31/2024,6/1/2024,6:00 AM to 8:00 PM
Sonik - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,Above 15,40 SAR per person,5/28/2024,5/28/2024,5:30 AM to 7:30 PM
WWE King & queen of the ring,WWE Presents King & queen of the ring at Jeddah superdome,Jeddah,Adults,70 SAR per person,5/25/2024,5/25/2024,7:00 AM to 9:00 PM
WWE Smackdown,WWE Presents WWE Smackdown at Jeddah superdome,Jeddah,All,30 SAR per person,5/24/2024,5/24/2024,6:30 AM to 8:30 PM
Butterfly recreational activities,Various activities for all age groups and targeting families and youth.Recreational Butterfly Activities,Albaha,Above 12,120 SAR per person,5/23/2024,8/16/2024,5:00 AM to 6:00 PM
Alia & Sonik - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,Adults,10 SAR per person,5/21/2024,5/21/2024,6:00 AM to 7:00 PM
Ring Of Fire,An epic showdown is set to take place between two of the world's greatest boxers.Kingdom Arena,Riyadh,Above 12,20 SAR per person,5/18/2024,5/18/2024,5:00 AM to 7:00 PM
HAWA,Hawa is an entertainment event in Madinah that includes entertainment zones,Almadina,Above 15,30 SAR per person,5/15/2024,8/12/2024,6:00 AM to 8:00 PM
Rita - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,All,10 SAR per person,5/14/2024,5/14/2024,5:30 AM to 7:30 PM
Nakheel Al Ammaria,A group of distinguished people discover Alamariyah.,Riyadh,Above 12,150 SAR per person,5/11/2024,8/8/2024,7:00 AM to 9:00 PM
Dream,Dream Event is a unique musical event in Riyadh. In the presence of distinguished artists.Dirab drift,Riyadh,All,20 SAR per person,5/10/2024,5/11/2024,6:30 AM to 8:30 PM
180 Beach Club,A new concept in the Eastern province started in 2020 that provides an Exceptional Experience at the beach,Al Khobar,Adults,20 SAR per person,5/9/2024,7/20/2024,5:00 AM to 6:00 PM
Amal Naher Concert,Join us for a magical concert with the amazing singer Amal Maher at the Onyx Arena.Covered hall - Aljowhrah,Jeddah,Above 15,Free Pass,5/3/2024,5/3/2024,6:00 AM to 7:00 PM
Ali asiri - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,Above 12,90 SAR per person,4/19/2024,4/19/2024,5:00 AM to 7:00 PM
Ors Aljen,Comedy and horror  converge in a unique and innovative framework through a story that takes place in the eighties of the last s ntury. Saad decides to marry his cousin Munira. On his wedding night,Dammam,Above 15,70 SAR per person,4/14/2024,4/18/2024,6:00 AM to 8:00 PM
The red Box,Dr. Farida explain the secrets of health  care.,Jeddah,Above 15,50 SAR per person,4/13/2024,4/17/2024,5:30 AM to 7:30 PM
Khalid Abdulrahman & Nawaf Aljabarti - Eid Events 2024,Eid concert in Shaqra with Khalid Abdulrahman & Nawaf Aljabarti.Amphitheater in Shaqraa,Shagraa,All,150 SAR per person,4/12/2024,4/12/2024,7:00 AM to 9:00 PM
Rabeh Sager - Eid Events 24,Eid concert in Dammam with Rabeh Sager.Dharan Expo,Dammam,Above 15,30 SAR per person,4/12/2024,4/12/2024,6:30 AM to 8:30 PM
Abadi AlJohar & Zena & AlMestrih - Eid Events 24,Eid concert in Riyadh with Abadi AlJohar & Zena Emad & Abdulla AlMestrih,Riyadh,Above 12,Free Pass,4/12/2024,4/12/2024,5:00 AM to 6:00 PM
Rayanh Alsayd - Sky Garden,A pleasant night presented to you by Sky Garden,Jeddah,Adults,10 SAR per person,4/12/2024,4/12/2024,6:00 AM to 7:00 PM
Beast house,Your weekend is set at Beast House,Riyadh,Above 12,Free Pass,4/12/2024,10/12/2024,5:00 AM to 7:00 PM
Balad social,ur intimate gathering of Jeddah's music heads on Bait Zainal's rooftop in the heart of historic Al-Balad.,Jeddah ,Above 12,50 SAR per person,4/11/2024,4/27/2024,6:00 AM to 8:00 PM
Guvali,It is a place with a different character and an integrated entertainment.guvali - Asfan,Jeddah,Above 15,50 SAR per person,4/10/2024,7/25/2024,5:30 AM to 7:30 PM
Jeddah Promenade - Eid Events 24,"Enjoy the most wonderful moments at the ""Eid Destination: The Best Holidays in Jeddah"" Promenade",Jeddah,All,70 SAR per person,4/10/2024,4/20/2024,7:00 AM to 9:00 PM
Jeddah Yacht Club & Marina - Eid Events 24,"Discover the excitement of ""Eid"" at Jeddah Yacht Club and Marina! Enjoy the beautiful atmosphere with your family by the sea",Jeddah,Above 12,50 SAR per person,4/10/2024,4/20/2024,6:30 AM to 8:30 PM
Work and Learn,Work and Learn is an initiative of the Theater and Performing Arts Commission with the support of the Ministry of Culture (MOC). It is an initiative that aims to support and develop talents by integrating trainees with experience in multiple technical theater professions with advanced and global experts in the field. The Initiative also aims to improve practitioners' abilities so that their skills become an integral part of the Kingdom of Saudi Arabia's talent and capability supply in the field of theater and performing arts.,Riyadh,Above 12,150 SAR per person,8/29/2023,9/12/2023,5:00 AM to 6:00 PM
Zarqa Al Yamama Opera,The festival aims to produce the first world-class Saudi operatic work that draws inspiration from the Kingdom's heritage and history. It also aims to attract leading Arab and global opera artists to enhance local talent and stimulate the performing arts sector to attract and produce theatrical performances for various segments of society. Additionally,Riyadh,Above 12,40 SAR per person,4/25/2024,5/4/2024,6:00 AM to 7:00 PM
Traditional Performing Arts Festival,A cultural and heritage art festival that revives the authentic folk arts,Riyadh,Above 15,30 SAR per person,8/14/2023,12/30/2023,5:00 AM to 7:00 PM
The National Folklore Competition,The National Folklore Competition is meant to aid the intangible national heritage through encouraging all community members to document the national Folklore treasures in Saudi in the following tracks; Folk Dance,Riyadh,Adults,50 SAR per person,9/25/2022,1/16/2023,6:00 AM to 8:00 PM
Literature of Isolation,The Literature,Riyadh,All,50 SAR per person,1/1/2020,2/1/2025,5:30 AM to 7:30 PM
Scripts and Calligraphy Paths To The Soul Exhibition,Scripts and Calligraphy: Paths to the Soul exhibition explores the beauty and harmony of Arabic Calligraphy,Riyadh,Adults,50 SAR per person,6/11/2023,9/2/2023,7:00 AM to 9:00 PM
Literary Partner,The Literary Partner Program seeks to develop literary partnerships with cafes that promote literary works creatively and make them accessible to the public. By doing so,Riyadh,Above 15,40 SAR per person,6/4/2023,8/14/2024,6:30 AM to 8:30 PM
The Literary Agent,The Literature,Riyadh,Adults,40 SAR per person,6/4/2023,6/15/2024,5:00 AM to 6:00 PM
Industrial Heritage,The Industrial Heritage Competition aims to engage and motivate all segments of society to highlight and discover the industrial heritage landmarks and to document their physical,Riyadh,Above 12,60 SAR per person,7/14/2023,12/31/2023,6:00 AM to 7:00 PM
The Oud House,The Music Commission has launched the “Arabic Oud House” project in Riyadh,Riyadh,Above 12,30 SAR per person,8/22/2023,9/21/2023,5:00 AM to 7:00 PM
Literary creativity competition for Saudi universities,The Literary,Najran,Adults,Free Pass,8/13/2023,9/30/2023,6:00 AM to 8:00 PM
In the night exhibition,In The Night is a contemporary art exhibition that invites us to a sensitive stroll in the dark by drawing a geography of our nights. Through the eyes of around 30 Saudi and international artists,Riyadh,All,60 SAR per person,2/14/2024,5/20/2024,5:30 AM to 7:30 PM
House of Artisans,The Artisans House project in Umluj province is one of the developmental training programs aimed at enabling the youth of Umluj to work and excel in craftsmanship in the heritage sector. The project involves developing and activating the Emirate Palace in Umluj,Umlj,Above 15,70 SAR per person,3/15/2023,3/17/2023,7:00 AM to 9:00 PM
Research studies in children's and young people's literature,The Literature,Riyadh,Adults,120 SAR per person,9/4/2023,4/7/2024,6:30 AM to 8:30 PM
Riyadh International Book Fair,Three annual awards have been designed to fulfill cultural objectives to elevate the status and influence of the Riyadh International Book Fair.,Riyadh,Adults,10 SAR per person,9/28/2023,10/7/2023,5:00 AM to 6:00 PM
Saudi Coffee Festival 2023,The Ministry of Culture is organizing the Saudi Coffee Festival 2023; with the aim of highlighting Saudi coffee as an authentic cultural heritage and enhancing its global and local presence,Riyadh,All,30 SAR per person,9/28/2023,10/1/2023,6:00 AM to 7:00 PM
Intermix Residency | Poush 2023,The project aims to provide opportunities for international participation for artists through partnerships with prominent international entities and supporting a number of artists to join the artistic residency program to enable visual artists to collaborate with international artists. The program was launched at the headquarters of (Poush Art Space) in the French capital,Riyadh,Adults,70 SAR per person,10/9/2023,1/21/2025,5:00 AM to 7:00 PM
Research studies in children's and young people's literature,The Literature,Riyadh,Adults,40 SAR per person,9/4/2023,4/7/2024,6:00 AM to 8:00 PM
Kingdom Photography Award (Second Edition),The Kingdom Photography Award is an annual international photography competition,Al Ahsa,All,Free Pass,12/1/2023,2/1/2024,5:30 AM to 7:30 PM
Imagine Picasso,The project aimed to create an alternate way in which to engage community across all ages with the subject of visual arts and art history through a dynamic and immersive experience dedicated to the work of Pablo Picasso.,Riyadh,Above 12,10 SAR per person,12/1/2023,3/1/2024,7:00 AM to 9:00 PM
Philosophy Conference,The International Philosophy Conference hosts specialists in philosophy,Riyadh,Above 12,40 SAR per person,12/1/2023,12/1/2023,6:30 AM to 8:30 PM
An art exhibition of the works of His Royal Highness Prince Khaled Al-Faisal,The Visual Arts Commission launched an exhibition that highlights the incredible contribution HRH Prince Khaled Al-Faisal has made to the cultural ecosystem of Saudi Arabia through his practice as an artist and through his many other cultural contributions.,Riyadh,Above 15,Free Pass,12/23/2023,3/1/2024,5:00 AM to 6:00 PM
Daw’ Film,Daw’ Film Competition aims to encourage and support the filmmaking sector in the Kingdom,Riyadh,Above 15,50 SAR per person,1/1/2024,12/31/2024,6:00 AM to 7:00 PM
Filmmakers Program,The Film Commission is launching the Filmmakers Program in 2021 in cooperation with several top international film universities and institutes,Riyadh,Above 12,40 SAR per person,1/1/2024,1/1/2025,5:00 AM to 7:00 PM
Saudi Film Confex,Daw’ Film Competition aims to encourage and support the filmmaking sector in the Kingdom,Riyadh,Adults,40 SAR per person,1/1/2024,12/31/2024,6:00 AM to 8:00 PM
VAC Mentorship & Guidance Program,The VAC Mentorship & Guidance Program,Riyadh,All,Free Pass,1/21/2024,2/3/2024,5:30 AM to 7:30 PM
Nabil Fanous Exhibition,Nabil Fanous » exhibition sheds light on the late architect’s rich legacy and his contributions to the Saudi architecture scene.,Riyadh,Above 15,40 SAR per person,1/21/2024,5/6/2024,7:00 AM to 9:00 PM
Zarqa Al Yamama Opera,The festival aims to produce the first world-class Saudi operatic work that draws inspiration from the Kingdom's heritage and history. It also aims to attract leading Arab and global opera artists to enhance local talent and stimulate the performing arts sector to attract and produce theatrical performances for various segments of society. Additionally,Riyadh,Above 12,30 SAR per person,4/25/2024,5/4/2024,6:30 AM to 8:30 PM
Diriyah Contemporary Art Biennale 2024,The second edition of the Diriyah Contemporary Art Biennale,Riyadh,Above 12,10 SAR per person,2/20/2024,5/24/2024,5:00 AM to 6:00 PM
The Kingdom Photography Award,The Kingdom Photography Award is an annual international photography competition,Jeddah,All,10 SAR per person,8/1/2022,8/31/2022,6:00 AM to 7:00 PM
The first hosted exhibition (Perfumes of the East),The Arab World Institute invites you on a journey to discover the fragrances of the East and their history through a tour featuring ancient and contemporary works. Experience unique installations of scents and perfumes specially designed by Christopher Sheldrake.,Riyadh,Above 15,Free Pass,5/21/2024,9/14/2024,5:00 AM to 7:00 PM
Almadinah Book Fair,This event involves organizing,Al Madinah ,Above 15,150 SAR per person,8/29/2024,9/4/2024,6:00 AM to 8:00 PM
Chinese Contemporary Art Exhibition,The exhibition will showcase art pieces from the Donnersberg Collection,Riyadh,Above 12,40 SAR per person,9/26/2024,1/18/2025,5:30 AM to 7:30 PM
Art Should Be Artificial Exhibition,"The ""Art Should Be Artificial: AI Horizons in Visual Arts"" exhibition will be held at Diriyah Art Futures Center in cooperation with the G. and Myriam Owls Foundation. It will explore artificial intelligence and historical and current practices in the field and contemporary media. It will offer a comprehensive overview from the sixties to the present day. The exhibition will feature the work of 31 artists from 13 countries",Riyadh,All,10 SAR per person,9/15/2024,12/13/2024,7:00 AM to 9:00 PM
Media Arts in the Arab World Exhibition,The Exhibition of Media Arts in the Arab World is a qualitative exhibition organized by the Diriyah Art Futures Center and curated by Haytham Nawar and Alaa Younis. The exhibition explores the history of modern media practices in the Arab world,Riyadh,Adults,20 SAR per person,10/1/2024,12/29/2024,6:30 AM to 8:30 PM
Riyadh International Book Fair,The event seeks to disseminate literary content across the community and encourage reading as a daily habit by holding book fairs and the Publishers Conference annually with the participation of multiple local and international publishing houses,Riyadh,All,40 SAR per person,9/26/2024,10/5/2024,5:00 AM to 6:00 PM
Sirha Arabia Exhibition Sponsorship,Sirha Arabia exhibition will be held in the Kingdom for the first time. The Commission will support its hosting and participate with a special pavilion.,Riyadh,All,Free Pass,10/1/2024,10/3/2024,6:00 AM to 7:00 PM
Tariq Abdulhakim Center's Red Sea Nights Festival,The Red Sea Nights Festival at Tariq Abdulhakim Center holds significant importance for several reasons. Firstly,Jeddah,Adults,20 SAR per person,11/28/2024,12/20/2024,5:00 AM to 7:00 PM
Balad Al-Fann,The event aims to develop artistic and cultural initiatives that consider community participation and support the local creative economy. The event includes various art exhibitions,Jeddah,Above 12,50 SAR per person,11/1/2024,11/3/2024,6:00 AM to 8:00 PM
Manuscripts Exhibition and Conference,An international exhibition based in Riyadh to offer a comprehensive cultural glimpse into the world of rare Arabic manuscripts. It showcases the significance of Arabic manuscripts as a message of human civilization,Riyadh,All,30 SAR per person,11/23/2024,11/23/2024,5:30 AM to 7:30 PM
International Festival of Traditional Games,Organizing events that promote and revive traditional games through internal collaboration between ministries and other government entities with the Ministry of Foreign Affairs to activate them on an international level through the Kingdom's embassies in countries that share similar traditional games. These events will be held in several regions of the Kingdom.,Riyadh,Adults,20 SAR per person,12/19/2024,12/19/2024,7:00 AM to 9:00 PM
The National Folklore Competition,The National Folklore Competition is meant to aid the intangible national heritage through encouraging all community members to document the national Folklore treasures in Saudi in the following tracks; Folk Dance,Riyadh,Above 15,10 SAR per person,9/25/2022,1/16/2023,6:30 AM to 8:30 PM
Art Residency,The Art Residency | Al Balad program aims to enrich artistic and cultural exchange,Jeddah,Adults,50 SAR per person,12/20/2021,10/30/2022,5:00 AM to 6:00 PM
The Virtual Training Program ''San'ah'',In line with its belief that talented individuals are the cornerstone of a developed and thriving music sector,Riyadh,Adults,70 SAR per person,3/30/2021,1/31/2022,6:00 AM to 7:00 PM
The Writings of Today Are a Promise for Tomorrow | Chinese Contemporary Art Exhibition,The Writings of Today are a Promise for Tomorrow” is the first exhibition of Chinese contemporary art in Saudi Arabia. Bringing together 31 artists of different generations and cultural backgrounds,Riyadh,Above 15,40 SAR per person,9/27/2024,1/18/2025,5:00 AM to 7:00 PM
Discover the culture & history of Al Ahsa,Embark on an enriching journey through Saudi Arabia's Eastern Province,Al Ahsa,Above 15,70 SAR per person,12/17/2023,12/29/2024,6:00 AM to 8:00 PM
Heritage & Adventure: One day Trip at Al-Ahsa,Embark with us on a fun and exciting tour in the city of Al-Ahsa,Al Ahsa,Adults,50 SAR per person,9/16/2023,12/14/2024,5:30 AM to 7:30 PM
Experience Hospitality and Learn about the Culture and History of Al Ahsa in a Private Home,Al Ahsa is a place brimming with history and culture. Experience the beauty and hospitality of this special place from one of its locals. During this experience Mr. Hesham Al Khateeb will welcome you into his home. You’ll spend time in his Deewaniya and enjoy delicious meals made by his family and unlimited hospitality of dates and Saudi coffee. You’ll talk about his family,Al Ahsa,All,40 SAR per person,3/27/2024,1/28/2025,7:00 AM to 9:00 PM
"Visit a Beautiful Farm in Al Ahsa and Enjoy Photography, Drawing and Plastic Lighting Art",Unleash your creativity in a beautiful setting. During this experience you’ll get to enjoy photography and drawing,Al Ahsa,Above 12,120 SAR per person,3/27/3034,1/28/2025,6:30 AM to 8:30 PM
Animal Lovers Dream: Horseback Safari at Nofa Wildlife Park,Animal lovers rejoice,Riyadh,Above 12,Free Pass,8/29/2024,1/16/2025,5:00 AM to 6:00 PM
Explore Al Baha's natural wonders & history,Explore Al Baha on this tour to enjoy the history,Al baha,Adults,90 SAR per person,4/3/2024,12/4/2024,6:00 AM to 7:00 PM
Unveil the unique wonders of Taif,Start your adventure with a glimpse into Taif's storied past at the Shubra Palace,Taif,Adults,30 SAR per person,4/8/2024,12/9/2024,5:00 AM to 7:00 PM
Caves of Shada Mount,In a time-traveling journey,Al baha,Above 12,30 SAR per person,5/25/2024,1/23/2025,6:00 AM to 8:00 PM
Marca: A love story on a magical island,Marka Island,Aseer,All,50 SAR per person,12/6/2023,12/29/2024,5:30 AM to 7:30 PM
Adrenaline-Pumping Adventure: Crossing the Empty Quarter (Bayda’ Allahy),Crossing the Empty Quarter starts from its northeastern part in the Shabita area near the Shaibah field and extends to the crater in the Umm Al-Hadid area. Umm Al-Hadid,Riyadh,Adults,70 SAR per person,11/21/2023,3/5/2025,7:00 AM to 9:00 PM
